owner,repo,full_name,html_url,description,language,stargazers_count,forks_count,open_issues_count,archived,created_at,updated_at,pushed_at
pathwaycom,pathway,pathwaycom/pathway,https://github.com/pathwaycom/pathway,"Python ETL framework for stream processing, real-time analytics, LLM pipelines, and RAG.",Python,43980,1340,50,False,2022-11-27T13:01:14Z,2025-10-02T23:22:56Z,2025-10-02T10:56:51Z
apache,airflow,apache/airflow,https://github.com/apache/airflow,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",Python,42648,15709,1671,False,2015-04-13T18:04:58Z,2025-10-02T23:17:24Z,2025-10-02T22:20:00Z
airbytehq,airbyte,airbytehq/airbyte,https://github.com/airbytehq/airbyte,"The leading data integration platform for ETL / ELT data pipelines from APIs, databases & files to data warehouses, data lakes & data lakehouses. Both self-hosted and Cloud-hosted.",Python,19695,4823,1772,False,2020-07-27T23:55:54Z,2025-10-02T18:54:34Z,2025-10-02T22:09:56Z
andkret,Cookbook,andkret/Cookbook,https://github.com/andkret/Cookbook,The Data Engineering Cookbook,Python,14537,2637,125,False,2019-03-10T22:20:03Z,2025-10-02T19:05:32Z,2025-07-21T15:05:23Z
dagster-io,dagster,dagster-io/dagster,https://github.com/dagster-io/dagster,"An orchestration platform for the development, production, and observation of data assets.",Python,14127,1829,2940,False,2018-04-30T16:30:04Z,2025-10-02T22:19:06Z,2025-10-02T22:34:29Z
ydataai,ydata-profiling,ydataai/ydata-profiling,https://github.com/ydataai/ydata-profiling,1 Line of code data quality profiling & exploratory data analysis for Pandas and Spark DataFrames. ,Python,13166,1747,288,False,2016-01-09T23:47:55Z,2025-10-02T18:17:17Z,2025-09-29T11:38:03Z
dbt-labs,dbt-core,dbt-labs/dbt-core,https://github.com/dbt-labs/dbt-core,dbt enables data analysts and engineers to transform their data using the same practices that software engineers use to build applications.,Python,11454,1920,801,False,2016-03-10T02:38:00Z,2025-10-02T22:19:27Z,2025-10-02T22:23:50Z
cleanlab,cleanlab,cleanlab/cleanlab,https://github.com/cleanlab/cleanlab,"Cleanlab's open-source library is the standard data-centric AI package for data quality and machine learning with messy, real-world data and labels.",Python,10937,856,106,False,2018-05-11T01:55:21Z,2025-10-02T05:40:50Z,2025-09-05T20:21:46Z
great-expectations,great_expectations,great-expectations/great_expectations,https://github.com/great-expectations/great_expectations,Always know what to expect from your data.,Python,10806,1626,97,False,2017-09-11T00:18:46Z,2025-10-02T22:08:03Z,2025-10-02T23:18:34Z
kedro-org,kedro,kedro-org/kedro,https://github.com/kedro-org/kedro,"Kedro is a toolbox for production-ready data science. It uses software engineering best practices to help you create data engineering and data science pipelines that are reproducible, maintainable, and modular.",Python,10563,967,174,False,2019-04-18T10:29:56Z,2025-10-02T19:06:21Z,2025-10-01T19:03:48Z
mage-ai,mage-ai,mage-ai/mage-ai,https://github.com/mage-ai/mage-ai,"🧙 Build, run, and manage data pipelines for integrating and transforming data.",Python,8485,874,536,False,2022-05-16T22:11:39Z,2025-10-02T19:33:33Z,2025-10-01T06:12:17Z
tobymao,sqlglot,tobymao/sqlglot,https://github.com/tobymao/sqlglot,Python SQL Parser and Transpiler,Python,8387,988,1,False,2021-03-13T05:01:56Z,2025-10-02T23:20:16Z,2025-10-02T23:20:12Z
ibis-project,ibis,ibis-project/ibis,https://github.com/ibis-project/ibis,the portable Python dataframe library,Python,6135,672,396,False,2015-04-17T20:43:46Z,2025-10-02T14:26:42Z,2025-10-02T14:28:06Z
Zipstack,unstract,Zipstack/unstract,https://github.com/Zipstack/unstract,No-code LLM Platform to launch APIs and ETL Pipelines to structure unstructured documents,Python,5827,551,59,False,2024-02-21T10:34:33Z,2025-10-02T19:20:04Z,2025-10-02T06:01:40Z
dpkp,kafka-python,dpkp/kafka-python,https://github.com/dpkp/kafka-python,Python client for Apache Kafka,Python,5820,1446,49,False,2012-09-24T13:00:26Z,2025-09-28T21:57:00Z,2025-09-04T18:07:14Z
ag2ai,faststream,ag2ai/faststream,https://github.com/ag2ai/faststream,"FastStream is a powerful and easy-to-use Python framework for building asynchronous services interacting with event streams such as Apache Kafka, RabbitMQ, NATS and Redis.",Python,4599,283,94,False,2022-12-01T09:46:18Z,2025-10-02T20:56:11Z,2025-10-02T19:43:48Z
StructuredLabs,preswald,StructuredLabs/preswald,https://github.com/StructuredLabs/preswald,"Preswald is a WASM packager for Python-based interactive data apps: bundle full complex data workflows, particularly visualizations, into single files, runnable completely in-browser, using Pyodide, DuckDB, Pandas, and Plotly, Matplotlib, etc. Build dashboards, reports, and notebooks that run offline, load fast, and share like a document.",Python,4306,664,338,False,2024-12-14T08:56:02Z,2025-10-01T10:50:25Z,2025-07-17T00:32:33Z
dlt-hub,dlt,dlt-hub/dlt,https://github.com/dlt-hub/dlt,data load tool (dlt) is an open source Python library that makes data loading easy 🛠️ ,Python,4217,336,282,False,2022-01-26T09:51:04Z,2025-10-02T21:36:02Z,2025-10-02T17:42:17Z
pyqtgraph,pyqtgraph,pyqtgraph/pyqtgraph,https://github.com/pyqtgraph/pyqtgraph,Fast data visualization and GUI tools for scientific / engineering applications,Python,4175,1136,479,False,2013-09-12T07:18:21Z,2025-10-02T07:03:57Z,2025-10-02T13:06:52Z
aws,aws-sdk-pandas,aws/aws-sdk-pandas,https://github.com/aws/aws-sdk-pandas,"pandas on AWS - Easy integration with Athena, Glue, Redshift, Timestream, Neptune, OpenSearch, QuickSight, Chime, CloudWatchLogs, DynamoDB, EMR, SecretManager, PostgreSQL, MySQL, SQLServer and S3 (Parquet, CSV, JSON and EXCEL).",Python,4066,716,41,False,2019-02-26T01:39:02Z,2025-09-29T08:58:22Z,2025-09-15T08:56:14Z
bruin-data,ingestr,bruin-data/ingestr,https://github.com/bruin-data/ingestr,ingestr is a CLI tool to copy data between any databases with a single command seamlessly.,Python,3235,107,15,False,2024-02-12T23:00:36Z,2025-10-02T21:51:06Z,2025-10-02T19:09:45Z
mljar,mljar-supervised,mljar/mljar-supervised,https://github.com/mljar/mljar-supervised,"Python package for AutoML on Tabular Data with Feature Engineering, Hyper-Parameters Tuning, Explanations and Automatic Documentation",Python,3208,425,144,False,2018-11-05T12:58:04Z,2025-10-01T08:59:20Z,2025-07-07T17:06:28Z
blockchain-etl,ethereum-etl,blockchain-etl/ethereum-etl,https://github.com/blockchain-etl/ethereum-etl,"Python scripts for ETL (extract, transform and load) jobs for Ethereum blocks, transactions, ERC20 / ERC721 tokens, transfers, receipts, logs, contracts, internal transactions. Data is available in Google BigQuery https://goo.gl/oY5BCQ",Python,3091,896,153,False,2018-05-02T08:55:38Z,2025-10-02T06:47:37Z,2025-08-27T02:07:52Z
ucbepic,docetl,ucbepic/docetl,https://github.com/ucbepic/docetl,A system for agentic LLM-powered data processing and ETL,Python,2941,307,34,False,2024-07-09T05:57:16Z,2025-10-02T15:11:30Z,2025-09-24T00:22:16Z
iterative,datachain,iterative/datachain,https://github.com/iterative/datachain,"ETL, Analytics, Versioning for Unstructured Data",Python,2677,128,83,False,2024-06-25T22:29:35Z,2025-10-02T21:13:29Z,2025-10-02T21:21:40Z
TobikoData,sqlmesh,TobikoData/sqlmesh,https://github.com/TobikoData/sqlmesh,Scalable and efficient data transformation framework - backwards compatible with dbt.,Python,2630,277,189,False,2022-09-23T16:28:39Z,2025-10-02T22:20:36Z,2025-10-02T23:22:22Z
seperman,deepdiff,seperman/deepdiff,https://github.com/seperman/deepdiff,DeepDiff: Deep Difference and search of any Python object/data. DeepHash: Hash of any object based on its contents. Delta: Use deltas to reconstruct objects by adding deltas together.,Python,2395,251,96,False,2014-09-26T03:21:47Z,2025-10-02T10:42:52Z,2025-09-04T05:44:57Z
instill-ai,instill-core,instill-ai/instill-core,https://github.com/instill-ai/instill-core,"🔮 Instill Core is a full-stack AI infrastructure tool for data, model and pipeline orchestration, designed to streamline every aspect of building versatile AI-first applications",Python,2289,121,39,False,2022-01-13T13:27:40Z,2025-09-28T06:45:43Z,2025-10-01T20:55:48Z
meltano,meltano,meltano/meltano,https://github.com/meltano/meltano,"Meltano: the declarative code-first data integration engine that powers your wildest data and ML-powered product ideas. Say goodbye to writing, maintaining, and scaling your own API integrations.",Python,2214,185,292,False,2021-06-21T16:35:39Z,2025-10-02T21:37:15Z,2025-10-02T21:37:12Z
sodadata,soda-core,sodadata/soda-core,https://github.com/sodadata/soda-core,":zap: Data quality testing for the modern data stack (SQL, Spark, and Pandas) https://www.soda.io",Python,2182,242,162,False,2020-12-14T19:59:19Z,2025-10-02T15:57:53Z,2025-10-01T20:46:29Z
elyra-ai,elyra,elyra-ai/elyra,https://github.com/elyra-ai/elyra,Elyra extends JupyterLab with an AI centric approach.,Python,1961,357,263,False,2019-10-22T21:37:58Z,2025-10-02T20:40:00Z,2025-10-02T20:39:54Z
faust-streaming,faust,faust-streaming/faust,https://github.com/faust-streaming/faust,Python Stream Processing. A Faust fork,Python,1825,199,140,False,2020-10-22T15:32:50Z,2025-09-25T17:40:39Z,2025-09-04T17:04:15Z
